dataset,column,dtype,null_pct,n_unique,source,meaning,example_values
historical_2015_2024,api_fouls_drawn,int64,0.0,122,API-Football,API-Football player-season stat/attribute,0 (2025); 1 (1296); 2 (1042)
historical_2015_2024,api_fouls_committed,int64,0.0,93,API-Football,API-Football player-season stat/attribute,0 (2262); 1 (1173); 2 (776)
historical_2015_2024,api_cards_yellow,int64,0.0,18,API-Football,API-Football player-season stat/attribute,0 (4946); 1 (3588); 2 (2896)
historical_2015_2024,api_cards_red,int64,0.0,6,API-Football,API-Football player-season stat/attribute,0 (18250); 1 (2302); 2 (219)
historical_2015_2024,api_penalty_won,int64,0.0,9,API-Football,API-Football player-season stat/attribute,0 (18120); 1 (2058); 2 (465)
historical_2015_2024,api_penalty_commited,int64,0.0,6,API-Football,API-Football player-season stat/attribute,0 (17322); 1 (2829); 2 (528)
historical_2015_2024,api_penalty_scored,int64,0.0,14,API-Football,API-Football player-season stat/attribute,0 (19126); 1 (837); 2 (352)
historical_2015_2024,api_penalty_missed,int64,0.0,5,API-Football,API-Football player-season stat/attribute,0 (19940); 1 (723); 2 (113)
historical_2015_2024,api_penalty_saved,int64,0.0,5,API-Football,API-Football player-season stat/attribute,0 (20307); 1 (340); 2 (104)
historical_2015_2024,api_goals_total_per90,float64,0.0,898,API-Football,Rate per 90 minutes,0.0 (10256); 0.03 (75); 0.035 (73)
historical_2015_2024,api_goals_assists_per90,float64,0.0,657,API-Football,Rate per 90 minutes,0.0 (10517); 0.062 (85); 0.032 (78)
historical_2015_2024,api_shots_total_per90,float64,0.0,3473,API-Football,Rate per 90 minutes,0.0 (3473); 1.0 (48); 2.0 (30)
historical_2015_2024,api_shots_on_per90,float64,0.0,1859,API-Football,Rate per 90 minutes,0.0 (5588); 0.125 (50); 0.141 (39)
historical_2015_2024,api_passes_key_per90,float64,0.0,2835,API-Football,Rate per 90 minutes,0.0 (3233); 1.0 (44); 0.5 (31)
historical_2015_2024,api_tackles_total_per90,float64,0.0,3432,API-Football,Rate per 90 minutes,0.0 (5989); 1.0 (43); 2.0 (36)
historical_2015_2024,api_duels_won_per90,float64,0.0,6780,API-Football,Rate per 90 minutes,0.0 (1175); 6.0 (63); 0.5 (61)
