position,uses_last_market_value,model_spec,algorithm,feature_rank,feature,importance
M,False,model_2_full_performance_age_exposure,lightgbm,3,numeric__understat_xg_buildup_per90,248.0
M,False,model_2_full_performance_age_exposure,lightgbm,4,numeric__api_avg_rating,240.0
M,False,model_2_full_performance_age_exposure,lightgbm,5,numeric__understat_xg_chain_per90,215.0
M,False,model_2_full_performance_age_exposure,lightgbm,6,numeric__duel_win_rate,172.0
M,False,model_2_full_performance_age_exposure,lightgbm,7,numeric__dribble_success_rate,151.0
M,False,model_2_full_performance_age_exposure,lightgbm,8,numeric__shot_on_target_rate,135.0
M,False,model_2_full_performance_age_exposure,lightgbm,9,numeric__xg_xa_per90,132.0
M,False,model_2_full_performance_age_exposure,lightgbm,10,numeric__start_rate,131.0
M,True,model_1_simplified_performance,lightgbm,1,numeric__last_market_value_log,375.0
M,True,model_1_simplified_performance,lightgbm,2,numeric__player_age,287.0
M,True,model_1_simplified_performance,lightgbm,3,numeric__log_minutes,228.0
M,True,model_1_simplified_performance,lightgbm,4,numeric__goals_assists_per90,87.0
M,True,model_1_simplified_performance,lightgbm,5,numeric__api_avg_rating,84.0
M,True,model_1_simplified_performance,lightgbm,6,numeric__xg_xa_per90,58.0
M,True,model_1_simplified_performance,lightgbm,7,numeric__minutes_share_3420,53.0
M,True,model_1_simplified_performance,lightgbm,8,numeric__player_age_sq,30.0
M,True,model_1_simplified_performance,lightgbm,9,numeric__start_rate,29.0
M,True,model_1_simplified_performance,lightgbm,10,categorical__transfermarkt_match_level_player_match,25.0
