position,model_spec,algorithm,uses_last_market_value,selected_for_position_setup,selected_hyperparameters,validation_mae,validation_rmse,validation_rmsle,validation_r2,test_mae,test_rmse,test_rmsle,test_r2
F,model_3_position_percentiles,ridge,True,False,"{""regressor__alpha"": 0.1}",3451646.4520744085,6976844.7476453865,0.5292519260067039,0.8960077357043543,3738192.138156552,7552346.604797179,0.5479509782009998,0.8916596006761078
F,model_2_full_performance_age_exposure,ridge,True,False,"{""regressor__alpha"": 10.0}",3586841.0155094224,7516501.4130034465,0.5420332690260911,0.8792980174538502,3794510.0806314894,7740116.983657931,0.5571631518440346,0.8862053996163339
F,model_1_simplified_performance,ridge,True,False,"{""regressor__alpha"": 10.0}",3678834.5506213806,7614371.769075284,0.5438567396963309,0.876134297189437,3860818.027921764,7924066.505208303,0.558988670345846,0.8807323040670241
G,model_2_full_performance_age_exposure,lightgbm,False,True,"{""regressor__learning_rate"": 0.05, ""regressor__max_depth"": 5, ""regressor__min_child_samples"": 30, ""regressor__n_estimators"": 200, ""regressor__num_leaves"": 7}",3766858.5108345277,6638300.768348618,0.8597481103406339,0.5071206889133248,3721254.8837417164,5956008.833388582,0.8620500795545726,0.5575795318865192
G,model_1_simplified_performance,lightgbm,False,False,"{""regressor__learning_rate"": 0.03, ""regressor__max_depth"": 5, ""regressor__min_child_samples"": 30, ""regressor__n_estimators"": 100, ""regressor__num_leaves"": 15}",4399591.1765215425,7847647.9600879755,0.9505717676368569,0.31117997690815036,4276612.761664017,7175341.010603935,0.9417854635931825,0.3578897001107708
G,model_3_position_percentiles,lightgbm,False,False,"{""regressor__learning_rate"": 0.05, ""regressor__max_depth"": 5, ""regressor__min_child_samples"": 60, ""regressor__n_estimators"": 100, ""regressor__num_leaves"": 7}",4032971.5595100312,7250270.861492796,0.8769694241367658,0.4120570314043659,4285677.749492606,7353226.10630968,0.9405851622190956,0.3256577271268861
G,model_3_position_percentiles,ridge,False,False,"{""regressor__alpha"": 0.1}",4367016.598957037,8179167.76497502,0.9296906166177216,0.25175302445062797,4316737.753113187,7407874.614461201,0.9786240697726966,0.31559718002211934
G,model_2_full_performance_age_exposure,ridge,False,False,"{""regressor__alpha"": 1.0}",4374403.922846825,8106896.596600985,0.9169020786635463,0.2649176333148219,4347890.000236151,7409343.483092332,0.9803017773825397,0.31532573981739986
G,model_1_simplified_performance,ridge,False,False,"{""regressor__alpha"": 10.0}",4457199.071714683,8344980.349312995,0.946471986604702,0.22110776482651073,4459365.62772675,7662213.127184622,0.9913955221943362,0.26779447720185157
G,model_3_position_percentiles,ridge,True,True,"{""regressor__alpha"": 0.1}",2015346.0587198406,3829773.9686551257,0.4378789158254774,0.8359512130267954,2062412.869249124,3708025.7531799222,0.47836601090320807,0.8285213609294986
G,model_2_full_performance_age_exposure,lightgbm,True,False,"{""regressor__learning_rate"": 0.05, ""regressor__max_depth"": 5, ""regressor__min_child_samples"": 30, ""regressor__n_estimators"": 100, ""regressor__num_leaves"": 7}",1658907.494838497,3084201.993020482,0.43105117965735346,0.8936071691348799,2106151.5184160727,3714467.2820647787,0.4673304124347181,0.8279250629992654
G,model_2_full_performance_age_exposure,ridge,True,False,"{""regressor__alpha"": 1.0}",1916830.9580732028,3477904.0780464383,0.4440697677904927,0.8647111711342929,2150077.1385182296,3838773.0130234906,0.5068387002132597,0.8162152759386083
G,model_1_simplified_performance,lightgbm,True,False,"{""regressor__learning_rate"": 0.05, ""regressor__max_depth"": 3, ""regressor__min_child_samples"": 30, ""regressor__n_estimators"": 100, ""regressor__num_leaves"": 15}",1789895.2587558688,3308995.126139093,0.438237889381474,0.8775330244470407,2206498.50792682,3914928.9609849444,0.47602638415972665,0.8088508741097425
G,model_1_simplified_performance,ridge,True,False,"{""regressor__alpha"": 0.1}",1922675.9040628022,3507243.5614813794,0.44480304684945404,0.8624189590870843,2221677.008574092,3964052.11317533,0.5116016431878291,0.8040238348712057
G,model_3_position_percentiles,lightgbm,True,False,"{""regressor__learning_rate"": 0.05, ""regressor__max_depth"": 5, ""regressor__min_child_samples"": 30, ""regressor__n_estimators"": 100, ""regressor__num_leaves"": 7}",1705989.548110027,3196116.043840208,0.414812830914066,0.8857458941069121,2260514.8051802795,4186713.1711658114,0.4898183534913527,0.7813895279863924
